igrf1900	19000101 0.0
igrf1905	19050101 0.0
igrf1910	19100101 0.0
igrf1915	19150101 0.0
igrf1920	19200101 0.0
igrf1925	19250101 0.0
igrf1930	19300101 0.0
igrf1935	19350101 0.0
igrf1940	19400101 0.0
igrf1945	19450101 0.0
igrf1950	19500101 0.0
igrf1955	19550101 0.0
igrf1960	19600101 0.0
igrf1965	19650101 0.0
igrf1970	19700101 0.0
igrf1975	19750101 0.0
igrf1980	19800101 0.0
igrf1985	19850101 0.0
igrf1990	19900101 0.0
igrf1995	19950101 0.0
igrf2000	20000101 0.0
igrf2005	20050101 0.0
igrf2010	20100101 0.0
igrf2015	20150101 0.0
igrf2020	20200101 0.0
igrf2025	20250101 0.0
