MaxDaily_sum_KS,MaxDaily_aut_KS,MaxDaily_win_KS,MaxDaily_spr_KS,maxWetSpell_sum_KS,maxWetSpell_aut_KS,maxWetSpell_win_KS,maxWetSpell_spr_KS,maxDrySpell_sum_KS,maxDrySpell_aut_KS,maxDrySpell_win_KS,maxDrySpell_spr_KS,Max7days_sum_KS,Max7days_aut_KS,Max7days_win_KS,Max7days_spr_KS,maxWetSpellamt_sum_KS,maxWetSpellamt_aut_KS,maxWetSpellamt_win_KS,maxWetSpellamt_spr_KS,AvWetDay_sum_KS,AvWetDay_aut_KS,AvWetDay_win_KS,AvWetDay_spr_KS,total_sum_KS,total_aut_KS,total_win_KS,total_spr_KS,WetDays_sum_KS,WetDays_aut_KS,WetDays_win_KS,WetDays_spr_KS,WetDays_an_KS
0.06710847,0.06710847,0.06710847,0.06710847,-0.700044996,-0.478919285,-0.43093942,-0.43093942,-0.822550075,-0.404577901,-0.344587538,-0.344587538,0.42927399,-0.376459363,-0.469431944,-0.469431944,0.244958723,-0.425768935,-0.40659025,-0.40659025,-0.053184975,-0.651067051,-0.86076738,-0.86076738,0.399004298,0.001197928,0.083076699,0.083076699,-1.010244987,-0.638764823,-0.79236011,-0.79236011,-1.32910509
-0.075432071,-0.075432071,-0.075432071,-0.075432071,-0.015835523,-0.04416628,-0.197767283,-0.197767283,0.005199822,-0.087674168,-0.325134316,-0.325134316,-0.140590994,0.006728039,-0.00728423,-0.00728423,-0.066095951,0.000322671,0.004863284,0.004863284,-0.139681668,-0.040701568,-0.046691762,-0.046691762,-0.169119847,-0.009802924,-0.142259033,-0.142259033,-0.018145116,-0.091788678,-0.305748559,-0.305748559,-0.123038751
-0.072896996,-0.072896996,-0.072896996,-0.072896996,-0.078217405,-0.067238723,-0.09809823,-0.09809823,-0.095870055,-0.05562625,-0.113133288,-0.113133288,-0.114884833,-0.061332711,-0.089953571,-0.089953571,-0.098718689,-0.047428692,-0.077780225,-0.077780225,-0.097051385,-0.074969775,-0.082043623,-0.082043623,-0.131677975,-0.061183503,-0.142260694,-0.142260694,-0.104193963,-0.078704068,-0.115549167,-0.115549167,-0.083300252
0.004641911,0.004641911,0.004641911,0.004641911,-0.000629569,0.002543187,0.007935893,0.007935893,0.001613882,0.001358155,0.016123807,0.016123807,-0.000263739,0.00020626,-0.011928747,-0.011928747,-0.002499238,-5.49E-05,-0.01189051,-0.01189051,0.007238187,0.002115782,-0.005268502,-0.005268502,-0.007443751,0.000319499,-0.008242231,-0.008242231,-0.000281895,0.005401069,0.014665356,0.014665356,0.005990234
-0.779367482,-0.779367482,-0.779367482,-0.779367482,-0.411245236,-0.647497525,-0.472287913,-0.472287913,-0.448689486,-0.602826758,-0.406996969,-0.406996969,-0.827850925,-0.477803209,-0.474294268,-0.474294268,-0.751742507,-0.463127192,-0.510009015,-0.510009015,-0.978486321,-0.569396261,-0.47134523,-0.47134523,-0.935845018,-0.741673748,-0.743034143,-0.743034143,-0.418148754,-0.619263568,-0.367556957,-0.367556957,-0.430070075
-0.416859632,-0.416859632,-0.416859632,-0.416859632,-0.308207895,-0.298735741,-0.241884277,-0.241884277,-0.337018196,-0.284345873,-0.187752921,-0.187752921,-0.399025578,-0.358222862,-0.340530997,-0.340530997,-0.396534212,-0.311183568,-0.352609619,-0.352609619,-0.40707536,-0.287800167,-0.294582784,-0.294582784,-0.392955668,-0.461340013,-0.356999394,-0.356999394,-0.31453212,-0.284128634,-0.180799389,-0.180799389,-0.211158757
-0.307269723,-0.307269723,-0.307269723,-0.307269723,-0.10945442,-0.164671892,-0.264210694,-0.264210694,-0.094368321,-0.267389683,-0.32583583,-0.32583583,-0.313309541,-0.148491016,-0.155632929,-0.155632929,-0.232265162,-0.128862168,-0.137852378,-0.137852378,-0.250832259,-0.25243917,-0.261267436,-0.261267436,-0.269017776,-0.128223462,-0.306105407,-0.306105407,-0.122656897,-0.23859233,-0.304665649,-0.304665649,-0.269464676
