Name	Brief	ID	Size (Bits)	Type	PTC	PFC	Default Value at Startup	Minimum Valid Value	Maximum Valid Value
TC_Counter_Successful_Acceptance_APID_Time	Acknowledgement counter of the TM[1,1] for  APID and it will be available for housekeeping.	1	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Failed_Acceptance_APID_Time	Acknowledgement counter of the TM[1,2] for APID_Time APID and it will be available for housekeeping.	2	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Successful_Start_Execution_APID_Time	Acknowledgement counter of the TM[1,3] for APID_Time APID and it will be available for housekeeping.	3	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Failed_Start_Execution_APID_Time	Acknowledgement counter of the TM[1,4] for APID_Time APID and it will be available for housekeeping.	4	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Successful_Comp_Execution_APID_Time	Acknowledgement counter of the TM[1,7] for APID_Time APID and it will be available for housekeeping.	5	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Failed_Comp_Execution_APID_Time	Acknowledgement counter the TM[1,8] for APID_Time APID and it will be available for housekeeping.	6	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Successful_Acceptance_APID_MISSION_OBC_A_PUS	Acknowledgement counter of the TM[1,1] for  APID and it will be available for housekeeping.	7	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Failed_Acceptance_APID_MISSION_OBC_A_PUS	Acknowledgement counter of the TM[1,2] for APID_MISSION_OBC_A_PUS APID and it will be available for housekeeping.	8	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Successful_Start_Execution_APID_MISSION_OBC_A_PUS	Acknowledgement counter of the TM[1,3] for APID_MISSION_OBC_A_PUS APID and it will be available for housekeeping.	9	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Failed_Start_Execution_APID_MISSION_OBC_A_PUS	Acknowledgement counter of the TM[1,4] for APID_MISSION_OBC_A_PUS APID and it will be available for housekeeping.	10	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Successful_Comp_Execution_APID_MISSION_OBC_A_PUS	Acknowledgement counter of the TM[1,7] for APID_MISSION_OBC_A_PUS APID and it will be available for housekeeping.	11	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Failed_Comp_Execution_APID_MISSION_OBC_A_PUS	Acknowledgement counter the TM[1,8] for APID_MISSION_OBC_A_PUS APID and it will be available for housekeeping.	12	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Successful_Acceptance_APID_MISSION_OBC_B_PUS	Acknowledgement counter of the TM[1,1] for  APID and it will be available for housekeeping.	13	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Failed_Acceptance_APID_MISSION_OBC_B_PUS	Acknowledgement counter of the TM[1,2] for APID_MISSION_OBC_B_PUS APID and it will be available for housekeeping.	14	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Successful_Start_Execution_APID_MISSION_OBC_B_PUS	Acknowledgement counter of the TM[1,3] for APID_MISSION_OBC_B_PUS APID and it will be available for housekeeping.	15	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Failed_Start_Execution_APID_MISSION_OBC_B_PUS	Acknowledgement counter of the TM[1,4] for APID_MISSION_OBC_B_PUS APID and it will be available for housekeeping.	16	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Successful_Comp_Execution_APID_MISSION_OBC_B_PUS	Acknowledgement counter of the TM[1,7] for APID_MISSION_OBC_B_PUS APID and it will be available for housekeeping.	17	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Failed_Comp_Execution_APID_MISSION_OBC_B_PUS	Acknowledgement counter the TM[1,8] for APID_MISSION_OBC_B_PUS APID and it will be available for housekeeping.	18	16	UNSIGNED_INTEGER	3	12	0		
TC_Counter_Discarded	Counter for the TCs that are Discarded (APID does not match known list).	85	16	UNSIGNED_INTEGER	3	12	0		
Detected_Info_Event_Report_Counter	Accumulated number of detected informative event reports, even the events whose generation status is disabled.	86	16	UNSIGNED_INTEGER	3	12	0		
Detected_Low_Event_Report_Counter	Accumulated number of detected low severity event reports, even the events whose generation status is disabled.	87	16	UNSIGNED_INTEGER	3	12	0		
Detected_Medium_Event_Report_Counter	Accumulated number of detected medium severity event reports, even the events whose generation status is disabled.	88	16	UNSIGNED_INTEGER	3	12	0		
Detected_High_Event_Report_Counter	Accumulated number of detected high severity event reports, even the events whose generation status is disabled.	89	16	UNSIGNED_INTEGER	3	12	0		
Generated_Info_Event_Report_Counter	Accumulated number of generated informative event reports (with generation status enabled at the time of the generation).	90	16	UNSIGNED_INTEGER	3	12	0		
Generated_Low_Event_Report_Counter	Accumulated number of generated low severity event reports (with generation status enabled at the time of the generation).	91	16	UNSIGNED_INTEGER	3	12	0		
Generated_Medium_Event_Report_Counter	Accumulated number of generated medium severity event reports (with generation status enabled at the time of the generation).	92	16	UNSIGNED_INTEGER	3	12	0		
Generated_High_Event_Report_Counter	Accumulated number of generated high severity event reports (with generation status enabled at the time of the generation).	93	16	UNSIGNED_INTEGER	3	12	0		
Last_Generated_Info_Event_Report_ID	Event definition identifier of the last generated info event report.	94	32	UNSIGNED_INTEGER	3	14	0		
