CDF_CNAME	CDF_ELTYPE	CDF_ELLEN	CDF_BIT	CDF_GRPSIZE	CDF_PNAME	CDF_INTER
ENC45067	E	11	2	0	ENPD0049	R
ENC45067	E	32	3	0	ENPD0050	R
ENC45068	E	8	0	3	ENPD0012	R
ENC45068	E	5	1	0	ENPD0028	R
ENC45068	E	11	2	0	ENPD0049	R
ENC45068	E	32	3	0	ENPD0050	R
ENC45072	E	8	0	3	ENPD0012	R
ENC45072	E	5	1	0	ENPD0028	R
ENC45072	E	11	2	0	ENPD0049	R
ENC45072	E	32	3	0	ENPD0050	R
ENC45073	E	8	0	1	ENPD0012	R
ENC45073	E	32	1	0	ENPD0052	R
ENC45074	E	8	0	5	ENPD0012	R
ENC45074	E	32	1	0	ENPD0052	R
ENC45074	E	8	2	0	ENPD0014	R
ENC45074	E	32	3	0	ENPD0053	R
ENC45074	E	8	4	0	ENPD0054	R
ENC45074	E	8	5	0	ENPD0055	R
ENC45075	E	8	0	1	ENPD0012	R
ENC45075	E	32	1	0	ENPD0052	R
ENC45076	E	16	0	0	ENPD0056	R
ENC45076	E	8	1	2	ENPD0012	R
ENC45076	E	0	2	0	ENPD0026	R
ENC45076	E	16	3	0	ENPD0057	R
ENC45077	E	16	0	0	ENPD0056	R
ENC45077	E	0	1	0	ENPD0020	R
ENC45077	E	0	2	0	ENPD0021	R
ENC45078	E	16	0	0	ENPD0056	R
ENC45079	E	16	0	0	ENPD0056	R
ENC45080	E	16	0	0	ENPD0056	R
ENC45082	E	16	0	0	ENPD0056	R
ENC45082	E	0	1	0	ENPD0020	R
ENC45082	E	0	2	0	ENPD0021	R
ENC45083	E	16	0	0	ENPD0056	R
ENC45084	E	16	0	0	ENPD0056	R
ENC45086	E	0	0	0	ENPD0020	R
ENC45086	E	0	1	0	ENPD0021	R
ENC45086	E	32	2	0	ENPD0058	R
ENC45087	E	0	0	0	ENPD0020	R
ENC45087	E	0	1	0	ENPD0021	R
ENC45088	E	0	0	0	ENPD0020	R
ENC45088	E	0	1	0	ENPD0021	R
ENC45089	E	0	0	0	ENPD0020	R
ENC45089	E	0	1	0	ENPD0059	R
ENC45090	E	0	0	0	ENPD0020	R
ENC45090	E	0	1	0	ENPD0059	R
ENC45091	E	0	0	0	ENPD0020	R
ENC45091	E	0	1	0	ENPD0060	R
ENC45091	E	0	2	0	ENPD0061	R
ENC45092	E	0	0	0	ENPD0020	R
ENC45093	E	16	0	0	ENPD0062	R
ENC45093	E	0	1	0	ENPD0063	R
ENC45093	E	0	2	0	ENPD0064	R
ENC45093	E	0	3	0	ENPD0065	R
ENC45093	E	0	4	0	ENPD0066	R
ENC45094	E	16	0	0	ENPD0062	R
ENC45094	E	0	1	0	ENPD0063	R
ENC45094	E	0	2	0	ENPD0064	R
ENC45094	E	0	3	0	ENPD0065	R
ENC45094	E	0	4	0	ENPD0066	R
ENC45095	E	0	0	0	ENPD0020	R
ENC45095	E	0	1	0	ENPD0021	R
ENC45095	E	8	2	6	ENPD0006	R
ENC45095	E	5	3	0	ENPD0028	R
ENC45095	E	11	4	0	ENPD0044	R
ENC45095	E	8	5	3	ENPD0010	R
ENC45095	E	8	6	0	ENPD0045	R
ENC45095	E	8	7	1	ENPD0046	R
ENC45095	E	8	8	0	ENPD0047	R
ENC45096	E	0	0	0	ENPD0020	R
ENC45096	E	0	1	0	ENPD0021	R
ENC45096	E	8	2	6	ENPD0006	R
ENC45096	E	5	3	0	ENPD0028	R
ENC45096	E	11	4	0	ENPD0044	R
ENC45096	E	8	5	3	ENPD0010	R
ENC45096	E	8	6	0	ENPD0045	R
ENC45096	E	8	7	1	ENPD0046	R
ENC45096	E	8	8	0	ENPD0047	R
ENC45097	E	0	0	0	ENPD0020	R
ENC45097	E	0	1	0	ENPD0021	R
ENC45098	E	0	0	0	ENPD0020	R
ENC45098	E	0	1	0	ENPD0059	R
ENC45099	E	0	0	0	ENPD0020	R
ENC45099	E	0	1	0	ENPD0059	R
ENC45100	E	0	0	0	ENPD0020	R
ENC45100	E	0	1	0	ENPD0021	R
ENC45100	E	8	2	5	ENPD0006	R
ENC45100	E	5	3	0	ENPD0028	R
ENC45100	E	11	4	0	ENPD0044	R
ENC45100	E	8	5	2	ENPD0010	R
ENC45100	E	8	6	0	ENPD0004	R
ENC45100	E	16	7	0	ENPD0048	R
ENC45101	E	0	0	0	ENPD0020	R
ENC45101	E	0	1	0	ENPD0021	R
ENC45101	E	8	2	4	ENPD0006	R
ENC45101	E	5	3	0	ENPD0028	R
ENC45101	E	11	4	0	ENPD0044	R
ENC45101	E	8	5	1	ENPD0010	R
ENC45101	E	8	6	0	ENPD0004	R
ENC45102	E	0	0	0	ENPD0020	R
ENC45102	E	0	1	0	ENPD0021	R
ENC45102	E	8	2	4	ENPD0006	R
ENC45102	E	5	3	0	ENPD0028	R
ENC45102	E	11	4	0	ENPD0044	R
ENC45102	E	8	5	1	ENPD0010	R
ENC45102	E	32	6	0	ENPD0013	R
ENC45103	E	0	0	0	ENPD0020	R
ENC45103	E	0	1	0	ENPD0021	R
ENC45103	E	8	2	4	ENPD0006	R
ENC45103	E	5	3	0	ENPD0028	R
ENC45103	E	11	4	0	ENPD0044	R
ENC45103	E	8	5	1	ENPD0010	R
ENC45103	E	32	6	0	ENPD0013	R
ENC45104	E	0	0	0	ENPD0020	R
ENC45104	E	0	1	0	ENPD0021	R
ENC45105	E	0	0	0	ENPD0020	R
ENC45105	E	0	1	0	ENPD0021	R
ENC45106	E	0	0	0	ENPD0020	R
ENC45106	E	0	1	0	ENPD0059	R
ENC45106	E	0	2	0	ENPD0021	R
ENC45107	E	0	0	0	ENPD0020	R
ENC45107	E	0	1	0	ENPD0059	R
ENC45108	E	8	0	0	ENPD0067	R
ENC45108	E	32	1	0	ENPD0068	R
ENC45108	E	0	2	0	ENPD0063	R
ENC45108	E	0	3	0	ENPD0064	R
ENC45108	E	0	4	0	ENPD0065	R
ENC45108	E	0	5	0	ENPD0066	R
ENC45109	E	32	0	0	ENPD0069	R
ENC45109	E	32	1	0	ENPD0070	R
ENC45110	E	32	0	0	ENPD0069	R
ENC45110	E	32	1	0	ENPD0070	R
ENC45111	E	32	0	0	ENPD0069	R
ENC45111	E	32	1	0	ENPD0070	R
ENC45112	E	32	0	0	ENPD0069	R
ENC45112	E	32	1	0	ENPD0070	R
