CDF_CNAME	CDF_ELTYPE	CDF_ELLEN	CDF_BIT	CDF_GRPSIZE	CDF_PNAME	CDF_INTER
ENC45113	E	0	0	0	ENPD0001	R
ENC45114	E	0	0	0	ENPD0002	R
ENC45115	E	0	0	0	ENPD0003	R
ENC45005	E	8	0	0	ENPD0004	R
ENC45005	E	16	1	0	ENPD0005	R
ENC45005	E	8	2	1	ENPD0006	R
ENC45005	E	32	3	0	ENPD0007	R
ENC45005	E	8	4	3	ENPD0008	R
ENC45005	E	16	5	0	ENPD0009	R
ENC45005	E	8	6	1	ENPD0010	R
ENC45005	E	32	7	0	ENPD0011	R
ENC45006	E	8	0	1	ENPD0012	R
ENC45006	E	8	1	0	ENPD0004	R
ENC45007	E	8	0	1	ENPD0012	R
ENC45007	E	8	1	0	ENPD0004	R
ENC45008	E	8	0	1	ENPD0012	R
ENC45008	E	8	1	0	ENPD0004	R
ENC45009	E	8	0	1	ENPD0012	R
ENC45009	E	8	1	0	ENPD0004	R
ENC45010	E	8	0	1	ENPD0012	R
ENC45010	E	32	1	0	ENPD0013	R
ENC45011	E	8	0	1	ENPD0012	R
ENC45011	E	32	1	0	ENPD0013	R
ENC45013	E	8	0	0	ENPD0014	R
ENC45013	E	8	1	4	ENPD0012	R
ENC45013	E	32	2	0	ENPD0015	R
ENC45013	E	32	3	0	ENPD0016	R
ENC45013	E	0	4	0	ENPD0017	R
ENC45013	E	16	5	0	ENPD0018	R
ENC45014	E	8	0	0	ENPD0014	R
ENC45014	E	8	1	2	ENPD0012	R
ENC45014	E	32	2	0	ENPD0015	R
ENC45014	E	32	3	0	ENPD0019	R
ENC45015	E	8	0	0	ENPD0014	R
ENC45015	E	8	1	2	ENPD0012	R
ENC45015	E	32	2	0	ENPD0015	R
ENC45015	E	32	3	0	ENPD0019	R
ENC45017	E	8	0	0	ENPD0014	R
ENC45018	E	8	0	0	ENPD0014	R
ENC45019	E	8	0	0	ENPD0014	R
ENC45019	E	0	1	0	ENPD0020	R
ENC45019	E	0	2	0	ENPD0021	R
ENC45019	E	8	3	3	ENPD0012	R
ENC45019	E	32	4	0	ENPD0015	R
ENC45019	E	32	5	0	ENPD0022	R
ENC45019	E	32	6	0	ENPD0016	R
ENC45020	E	8	0	0	ENPD0014	R
ENC45020	E	0	1	0	ENPD0020	R
ENC45020	E	0	2	0	ENPD0021	R
ENC45020	E	8	3	2	ENPD0012	R
ENC45020	E	32	4	0	ENPD0015	R
ENC45020	E	32	5	0	ENPD0019	R
ENC45022	E	56	0	0	ENPD0023	R
ENC45023	E	56	0	0	ENPD0023	R
ENC45027	E	32	0	0	ENPD0024	R
ENC45027	E	8	1	2	ENPD0012	R
ENC45027	E	56	2	0	ENPD0025	R
ENC45027	E	0	3	0	ENPD0026	R
ENC45028	E	8	0	5	ENPD0012	R
ENC45028	E	16	1	0	ENPD0027	R
ENC45028	E	5	2	0	ENPD0028	R
ENC45028	E	11	3	0	ENPD0029	R
ENC45028	E	2	4	0	ENPD0030	R
ENC45028	E	14	5	0	ENPD0031	R
ENC45029	E	56	0	0	ENPD0033	R
ENC45029	E	8	1	5	ENPD0012	R
ENC45029	E	16	2	0	ENPD0027	R
ENC45029	E	5	3	0	ENPD0028	R
ENC45029	E	11	4	0	ENPD0029	R
ENC45029	E	2	5	0	ENPD0030	R
ENC45029	E	14	6	0	ENPD0031	R
ENC45030	E	8	0	5	ENPD0012	R
ENC45030	E	16	1	0	ENPD0027	R
ENC45030	E	5	2	0	ENPD0028	R
ENC45030	E	11	3	0	ENPD0029	R
ENC45030	E	2	4	0	ENPD0030	R
ENC45030	E	14	5	0	ENPD0031	R
ENC45031	E	56	0	0	ENPD0033	R
ENC45035	E	8	0	1	ENPD0012	R
ENC45035	E	32	1	0	ENPD0024	R
ENC45036	E	8	0	1	ENPD0012	R
ENC45036	E	32	1	0	ENPD0024	R
ENC45037	E	8	0	1	ENPD0012	R
ENC45037	E	8	1	0	ENPD0034	R
ENC45038	E	8	0	1	ENPD0012	R
ENC45038	E	8	1	0	ENPD0034	R
ENC45039	E	16	0	0	ENPD0035	R
ENC45041	E	8	0	1	ENPD0012	R
ENC45041	E	8	1	0	ENPD0034	R
ENC45042	E	8	0	1	ENPD0012	R
ENC45042	E	8	1	0	ENPD0034	R
ENC45049	E	8	0	1	ENPD0012	R
ENC45049	E	8	1	0	ENPD0041	R
ENC45050	E	8	0	1	ENPD0012	R
ENC45050	E	8	1	0	ENPD0041	R
ENC45051	E	8	0	1	ENPD0012	R
ENC45051	E	8	1	0	ENPD0041	R
ENC45052	E	8	0	1	ENPD0012	R
ENC45052	E	8	1	0	ENPD0041	R
ENC45054	E	8	0	6	ENPD0006	R
ENC45054	E	5	1	0	ENPD0028	R
ENC45054	E	11	2	0	ENPD0044	R
ENC45054	E	8	3	3	ENPD0010	R
ENC45054	E	8	4	0	ENPD0045	R
ENC45054	E	8	5	1	ENPD0046	R
ENC45054	E	8	6	0	ENPD0047	R
ENC45055	E	8	0	6	ENPD0006	R
ENC45055	E	5	1	0	ENPD0028	R
ENC45055	E	11	2	0	ENPD0044	R
ENC45055	E	8	3	3	ENPD0010	R
ENC45055	E	8	4	0	ENPD0045	R
ENC45055	E	8	5	1	ENPD0046	R
ENC45055	E	8	6	0	ENPD0047	R
ENC45057	E	8	0	5	ENPD0006	R
ENC45057	E	5	1	0	ENPD0028	R
ENC45057	E	11	2	0	ENPD0044	R
ENC45057	E	8	3	2	ENPD0010	R
ENC45057	E	8	4	0	ENPD0004	R
ENC45057	E	16	5	0	ENPD0048	R
ENC45058	E	8	0	4	ENPD0006	R
ENC45058	E	5	1	0	ENPD0028	R
ENC45058	E	11	2	0	ENPD0044	R
ENC45058	E	8	3	1	ENPD0010	R
ENC45058	E	8	4	0	ENPD0004	R
ENC45060	E	8	0	4	ENPD0006	R
ENC45060	E	5	1	0	ENPD0028	R
ENC45060	E	11	2	0	ENPD0044	R
ENC45060	E	8	3	1	ENPD0010	R
ENC45060	E	32	4	0	ENPD0013	R
ENC45061	E	8	0	4	ENPD0006	R
ENC45061	E	5	1	0	ENPD0028	R
ENC45061	E	11	2	0	ENPD0044	R
ENC45061	E	8	3	1	ENPD0010	R
ENC45061	E	32	4	0	ENPD0013	R
ENC45064	E	8	0	4	ENPD0012	R
ENC45064	E	5	1	0	ENPD0028	R
ENC45064	E	11	2	0	ENPD0049	R
ENC45064	E	32	3	0	ENPD0050	R
ENC45064	E	0	4	0	ENPD0051	R
ENC45065	E	8	0	3	ENPD0012	R
ENC45065	E	5	1	0	ENPD0028	R
ENC45065	E	11	2	0	ENPD0049	R
ENC45065	E	32	3	0	ENPD0050	R
ENC45067	E	8	0	3	ENPD0012	R
ENC45067	E	5	1	0	ENPD0028	R
