Name	SID	Default Status	Type	Collection Interval (Application Cycles)	Simply Commutated Parameters
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Successful_Acceptance_APID_MISSION_OBC_A_PUS
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Failed_Acceptance_APID_MISSION_OBC_A_PUS
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Successful_Start_Execution_APID_MISSION_OBC_A_PUS
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Failed_Start_Execution_APID_MISSION_OBC_A_PUS
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Successful_Comp_Execution_APID_MISSION_OBC_A_PUS
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Failed_Comp_Execution_APID_MISSION_OBC_A_PUS
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Successful_Acceptance_APID_MISSION_OBC_B_PUS
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Failed_Acceptance_APID_MISSION_OBC_B_PUS
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Successful_Start_Execution_APID_MISSION_OBC_B_PUS
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Failed_Start_Execution_APID_MISSION_OBC_B_PUS
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Successful_Comp_Execution_APID_MISSION_OBC_B_PUS
HK_SID_1	1	ENABLED	HK	10	TC_Counter_Failed_Comp_Execution_APID_MISSION_OBC_B_PUS
HK_SID_1	1	ENABLED	HK	10	Detected_Info_Event_Report_Counter
HK_SID_1	1	ENABLED	HK	10	Detected_Low_Event_Report_Counter
HK_SID_1	1	ENABLED	HK	10	Detected_Medium_Event_Report_Counter
HK_SID_1	1	ENABLED	HK	10	Detected_High_Event_Report_Counter
HK_SID_1	1	ENABLED	HK	10	Generated_Info_Event_Report_Counter
HK_SID_1	1	ENABLED	HK	10	Generated_Low_Event_Report_Counter
HK_SID_1	1	ENABLED	HK	10	Generated_Medium_Event_Report_Counter
HK_SID_1	1	ENABLED	HK	10	Generated_High_Event_Report_Counter
HK_SID_1	1	ENABLED	HK	10	Last_Generated_Info_Event_Report_ID
HK_SID_1	1	ENABLED	HK	10	Last_Generated_Info_Event_Report_Time
HK_SID_1	1	ENABLED	HK	10	Disabled_Info_Event_Definitions_Counter
HK_SID_1	1	ENABLED	HK	10	Last_Generated_Low_Event_Report_ID
HK_SID_1	1	ENABLED	HK	10	Last_Generated_Low_Event_Report_Time
HK_SID_1	1	ENABLED	HK	10	Disabled_Low_Event_Definitions_Counter
HK_SID_1	1	ENABLED	HK	10	Last_Generated_Medium_Event_Report_ID
HK_SID_1	1	ENABLED	HK	10	Last_Generated_Medium_Event_Report_Time
HK_SID_1	1	ENABLED	HK	10	Disabled_Medium_Event_Definitions_Counter
HK_SID_1	1	ENABLED	HK	10	Last_Generated_High_Event_Report_ID
HK_SID_1	1	ENABLED	HK	10	Last_Generated_High_Event_Report_Time
HK_SID_1	1	ENABLED	HK	10	Disabled_High_Event_Definitions_Counter
HK_SID_FDIR	2	ENABLED	HK	10	Max_Trans_Rep_Delay
HK_SID_FDIR	2	ENABLED	HK	10	Nb_PMONs_Triggered
HK_SID_FDIR	2	ENABLED	HK	10	Nb_PMONs_Enabled
HK_SID_FDIR	2	ENABLED	HK	10	Nb_Avail_Entr_PMON_List
HK_SID_FDIR	2	ENABLED	HK	10	PMON_Function_Status
HK_SID_FDIR	2	ENABLED	HK	10	Nb_FMONs_Enabled
HK_SID_FDIR	2	ENABLED	HK	10	Nb_FMONs_Triggered
HK_SID_FDIR	2	ENABLED	HK	10	Nb_Avail_Entr_FMON_List
HK_SID_FDIR	2	ENABLED	HK	10	FMON_Function_Status
HK_SID_MTL	3	ENABLED	HK	10	Nr_Sub_Schedules
HK_SID_MTL	3	ENABLED	HK	10	Nr_Activities
HK_SID_MTL	3	ENABLED	HK	10	Scheduler_Function_Status
HK_SID_MTL	3	ENABLED	HK	10	Subschedules_Status
HK_SID_MTL	3	ENABLED	HK	10	Nr_Available_Entries
HK_SID_MTL	3	ENABLED	HK	10	Nr_Pending_Activities
HK_SID_MTL	3	ENABLED	HK	10	Time_Tag_of_Last_Activity
HK_SID_MTL	3	ENABLED	HK	10	Time_Tag_Of_Next_Activity
