Intercept    Lat       Lon       Lat*lon  Dist_coast      Elev
00000000011111111112222222222333333333344444444445555555555666666666677777777778
12345678901234567890123456789012345678901234567890123456789012345678901234567890
 2.14629   -0.18896   -0.18134   0.00044   -0.99356      0.01146
 2.69367   -0.33091   -0.22776   0.00061   -0.66419      0.01488
 0.03531   -0.31827   -0.13876   0.00015   -0.50433      0.01360
 0.68726   -0.10239   -0.28291  -0.00129   -1.77739      0.02196
 1.53271   -0.33745   -0.27651   0.00021   -0.23115      0.00590
 2.25955   -0.42135   -0.3508    0.00035   -0.27985      0.01459
 1.57173   -0.12363   -0.23577  -0.00097   -1.84297      0.01944
